url	title	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200305	04 March 2020	259	SwissBorg	CHSB	$15,353,136	$0.022412	685,037,784 CHSB *	$59,188	-2.71%	1.79%	-6.73%	
https:/coinmarketcap.com/historical/20200306	05 March 2020	245	SwissBorg	CHSB	$16,712,578	$0.024220	690,037,784 CHSB *	$71,665	1.39%	7.10%	1.81%	
https:/coinmarketcap.com/historical/20200307	06 March 2020	249	SwissBorg	CHSB	$16,367,490	$0.023720	690,037,784 CHSB *	$74,423	-0.62%	-1.47%	5.23%	
https:/coinmarketcap.com/historical/20200308	07 March 2020	249	SwissBorg	CHSB	$14,440,496	$0.020927	690,037,784 CHSB *	$78,461	-2.14%	-11.49%	-9.06%	
https:/coinmarketcap.com/historical/20200309	08 March 2020	250	SwissBorg	CHSB	$14,242,509	$0.020640	690,037,784 CHSB *	$61,913	1.23%	-2.46%	-13.04%	
https:/coinmarketcap.com/historical/20200310	09 March 2020	247	SwissBorg	CHSB	$14,407,711	$0.020880	690,037,784 CHSB *	$66,513	-1.59%	1.45%	-7.60%	
https:/coinmarketcap.com/historical/20200311	10 March 2020	252	SwissBorg	CHSB	$13,932,822	$0.020191	690,037,784 CHSB *	$78,710	0.48%	-3.99%	-9.02%	
https:/coinmarketcap.com/historical/20200312	11 March 2020	246	SwissBorg	CHSB	$8,643,550	$0.012526	690,037,784 CHSB *	$82,928	-14.06%	-37.86%	-45.23%	
https:/coinmarketcap.com/historical/20200313	12 March 2020	214	SwissBorg	CHSB	$11,776,962	$0.017067	690,037,784 CHSB *	$159,469	-1.84%	29.16%	-29.06%	
https:/coinmarketcap.com/historical/20200314	13 March 2020	227	SwissBorg	CHSB	$10,375,142	$0.015036	690,037,784 CHSB *	$82,098	-1.38%	-12.83%	-35.88%	
https:/coinmarketcap.com/historical/20200315	14 March 2020	238	SwissBorg	CHSB	$10,196,762	$0.014777	690,037,784 CHSB *	$71,552	0.23%	-2.50%	-30.62%	
https:/coinmarketcap.com/historical/20200316	15 March 2020	228	SwissBorg	CHSB	$9,780,803	$0.014174	690,037,784 CHSB *	$50,401	0.43%	-3.10%	-31.37%	
https:/coinmarketcap.com/historical/20200317	16 March 2020	220	SwissBorg	CHSB	$10,902,059	$0.015754	692,037,784 CHSB *	$160,528	0.11%	10.25%	-24.46%	
https:/coinmarketcap.com/historical/20200318	17 March 2020	221	SwissBorg	CHSB	$11,426,987	$0.016490	692,985,577 CHSB *	$62,268	-0.70%	4.61%	-16.45%	
https:/coinmarketcap.com/historical/20200319	18 March 2020	211	SwissBorg	CHSB	$14,639,699	$0.020832	702,745,665 CHSB *	$92,867	-1.40%	25.10%	51.72%	
https:/coinmarketcap.com/historical/20200320	19 March 2020	214	SwissBorg	CHSB	$13,900,431	$0.019779	702,795,665 CHSB *	$181,949	-0.36%	-4.83%	15.26%	
https:/coinmarketcap.com/historical/20200321	20 March 2020	210	SwissBorg	CHSB	$13,922,170	$0.019810	702,795,665 CHSB *	$101,879	0.05%	1.60%	29.83%	
https:/coinmarketcap.com/historical/20200322	21 March 2020	224	SwissBorg	CHSB	$12,243,095	$0.017421	702,795,665 CHSB *	$90,315	-2.43%	-12.05%	18.89%	
https:/coinmarketcap.com/historical/20200323	22 March 2020	210	SwissBorg	CHSB	$14,356,752	$0.020398	703,839,048 CHSB *	$118,015	-0.43%	15.00%	41.78%	
https:/coinmarketcap.com/historical/20200324	23 March 2020	215	SwissBorg	CHSB	$14,705,314	$0.020893	703,839,048 CHSB *	$70,211	-3.86%	2.53%	32.26%	
https:/coinmarketcap.com/historical/20200325	24 March 2020	216	SwissBorg	CHSB	$14,754,648	$0.020963	703,839,048 CHSB *	$80,049	-0.87%	-2.31%	26.70%	
https:/coinmarketcap.com/historical/20200326	25 March 2020	216	SwissBorg	CHSB	$15,157,605	$0.021536	703,839,048 CHSB *	$50,677	0.55%	2.06%	4.94%	
https:/coinmarketcap.com/historical/20200327	26 March 2020	220	SwissBorg	CHSB	$14,451,843	$0.020533	703,839,048 CHSB *	$68,390	-2.01%	-4.38%	5.07%	
https:/coinmarketcap.com/historical/20200328	27 March 2020	222	SwissBorg	CHSB	$13,994,334	$0.019883	703,839,048 CHSB *	$68,803	0.03%	-4.70%	0.27%	
https:/coinmarketcap.com/historical/20200329	28 March 2020	220	SwissBorg	CHSB	$13,311,826	$0.018913	703,839,048 CHSB *	$61,487	0.42%	-5.12%	5.38%	
https:/coinmarketcap.com/historical/20200330	29 March 2020	217	SwissBorg	CHSB	$15,105,622	$0.021460	703,891,048 CHSB *	$78,683	1.53%	13.55%	7.07%	
https:/coinmarketcap.com/historical/20200331	29 March 2020	215	SwissBorg	CHSB	$15,397,858	$0.021875	703,891,048 CHSB *	$94,069	0.56%	4.11%	2.61%	
https:/coinmarketcap.com/historical/20200401	31 March 2020	209	SwissBorg	CHSB	$16,089,131	$0.022857	703,891,048 CHSB *	$93,326	4.06%	5.58%	9.59%	
https:/coinmarketcap.com/historical/20200402	01 April 2020	202	SwissBorg	CHSB	$17,413,651	$0.024732	704,103,768 CHSB *	$131,964	-0.45%	9.41%	15.94%	
https:/coinmarketcap.com/historical/20200403	02 April 2020	203	SwissBorg	CHSB	$17,005,080	$0.024150	704,153,768 CHSB *	$90,614	-0.22%	-2.31%	16.10%	
https:/coinmarketcap.com/historical/20200404	03 April 2020	204	SwissBorg	CHSB	$17,472,871	$0.024814	704,153,768 CHSB *	$93,053	0.08%	2.56%	24.64%	
https:/coinmarketcap.com/historical/20200405	04 April 2020	206	SwissBorg	CHSB	$17,153,939	$0.024361	704,153,768 CHSB *	$73,644	0.40%	-0.46%	27.98%	
https:/coinmarketcap.com/historical/20200406	05 April 2020	208	SwissBorg	CHSB	$17,752,854	$0.025212	704,153,768 CHSB *	$166,637	1.71%	3.49%	19.97%	
https:/coinmarketcap.com/historical/20200407	06 April 2020	211	SwissBorg	CHSB	$17,452,895	$0.024786	704,153,768 CHSB *	$156,521	0.39%	-1.49%	15.07%	
https:/coinmarketcap.com/historical/20200408	07 April 2020	205	SwissBorg	CHSB	$18,745,570	$0.026621	704,153,768 CHSB *	$96,308	0.24%	7.66%	18.62%	
https:/coinmarketcap.com/historical/20200409	08 April 2020	210	SwissBorg	CHSB	$18,165,501	$0.025798	704,153,768 CHSB *	$163,960	0.16%	-3.36%	5.19%	
https:/coinmarketcap.com/historical/20200410	09 April 2020	210	SwissBorg	CHSB	$16,533,760	$0.023479	704,203,768 CHSB *	$82,920	-0.60%	-8.96%	-3.24%	
https:/coinmarketcap.com/historical/20200411	10 April 2020	212	SwissBorg	CHSB	$16,454,697	$0.023366	704,203,768 CHSB *	$61,162	0.68%	-1.15%	-4.68%	
https:/coinmarketcap.com/historical/20200412	11 April 2020	212	SwissBorg	CHSB	$16,508,569	$0.023443	704,203,768 CHSB *	$64,591	0.82%	0.67%	-4.04%	
https:/coinmarketcap.com/historical/20200413	12 April 2020	219	SwissBorg	CHSB	$15,598,911	$0.022151	704,203,768 CHSB *	$80,919	-0.58%	-4.19%	-11.14%	
https:/coinmarketcap.com/historical/20200414	13 April 2020	211	SwissBorg	CHSB	$16,226,611	$0.023042	704,203,768 CHSB *	$139,866	-0.47%	3.84%	-8.00%	
https:/coinmarketcap.com/historical/20200415	14 April 2020	216	SwissBorg	CHSB	$15,767,541	$0.022391	704,203,768 CHSB *	$85,501	-1.29%	-2.90%	-15.47%	
https:/coinmarketcap.com/historical/20200416	15 April 2020	225	SwissBorg	CHSB	$15,827,195	$0.022475	704,203,768 CHSB *	$122,138	-0.12%	0.92%	-11.57%	
https:/coinmarketcap.com/historical/20200417	16 April 2020	224	SwissBorg	CHSB	$15,731,007	$0.022339	704,203,768 CHSB *	$120,822	-0.51%	-1.09%	-5.82%	
https:/coinmarketcap.com/historical/20200418	17 April 2020	221	SwissBorg	CHSB	$16,701,792	$0.023717	704,203,768 CHSB *	$66,849	-1.33%	5.49%	2.82%	
https:/coinmarketcap.com/historical/20200419	18 April 2020	223	SwissBorg	CHSB	$16,121,703	$0.022894	704,203,768 CHSB *	$86,134	-0.49%	-3.80%	-0.55%	
https:/coinmarketcap.com/historical/20200420	19 April 2020	238	SwissBorg	CHSB	$13,894,799	$0.019731	704,203,768 CHSB *	$177,605	-1.87%	-14.08%	-10.89%	
https:/coinmarketcap.com/historical/20200421	20 April 2020	239	SwissBorg	CHSB	$13,858,950	$0.019680	704,203,768 CHSB *	$99,955	0.29%	-1.75%	-15.25%	
https:/coinmarketcap.com/historical/20200422	21 April 2020	239	SwissBorg	CHSB	$14,140,275	$0.020080	704,203,768 CHSB *	$117,717	-0.29%	2.17%	-10.31%	
https:/coinmarketcap.com/historical/20200423	22 April 2020	240	SwissBorg	CHSB	$14,394,357	$0.020441	704,203,768 CHSB *	$108,421	-0.50%	1.03%	-9.07%	
https:/coinmarketcap.com/historical/20200424	23 April 2020	246	SwissBorg	CHSB	$14,422,703	$0.020481	704,203,768 CHSB *	$132,828	-0.12%	-0.70%	-9.29%	
https:/coinmarketcap.com/historical/20200425	24 April 2020	255	SwissBorg	CHSB	$13,589,261	$0.019297	704,203,768 CHSB *	$129,064	1.12%	-5.23%	-18.78%	
https:/coinmarketcap.com/historical/20200426	25 April 2020	256	SwissBorg	CHSB	$13,712,649	$0.019473	704,203,768 CHSB *	$81,232	0.44%	2.37%	-15.58%	
https:/coinmarketcap.com/historical/20200427	26 April 2020	271	SwissBorg	CHSB	$12,679,197	$0.018005	704,203,768 CHSB *	$114,775	-0.79%	-7.44%	-10.68%	
https:/coinmarketcap.com/historical/20200428	27 April 2020	238	SwissBorg	CHSB	$12,915,812	$0.018341	704,203,768 CHSB *	$94,551	-0.06%	2.19%	-6.81%	
https:/coinmarketcap.com/historical/20200429	28 April 2020	248	SwissBorg	CHSB	$13,031,075	$0.018505	704,203,768 CHSB *	$164,448	0.43%	1.05%	-8.32%	
https:/coinmarketcap.com/historical/20200430	29 April 2020	246	SwissBorg	CHSB	$12,232,186	$0.017370	704,203,768 CHSB *	$294,432	-0.77%	-5.69%	-15.99%	
https:/coinmarketcap.com/historical/20200501	30 April 2020	254	SwissBorg	CHSB	$11,512,561	$0.016347	704,253,768 CHSB *	$109,820	-0.70%	-5.55%	-19.15%	
https:/coinmarketcap.com/historical/20200502	01 May 2020	255	SwissBorg	CHSB	$11,432,571	$0.016234	704,253,768 CHSB *	$113,463	-0.35%	-1.18%	-14.68%	
https:/coinmarketcap.com/historical/20200503	02 May 2020	704	SwissBorg	CHSB	$11,277,649	$0.016014	704,253,768 CHSB *	$45,097	-0.28%	-2.11%	-17.39%	
https:/coinmarketcap.com/historical/20200504	03 May 2020	239	SwissBorg	CHSB	$12,764,740	$0.018125	704,253,768 CHSB *	$107,807	-0.73%	13.38%	1.22%	
https:/coinmarketcap.com/historical/20200505	04 May 2020	237	SwissBorg	CHSB	$13,473,231	$0.019131	704,253,768 CHSB *	$88,258	1.51%	5.28%	5.09%	
https:/coinmarketcap.com/historical/20200506	05 May 2020	240	SwissBorg	CHSB	$13,621,261	$0.019341	704,253,768 CHSB *	$142,427	-1.56%	1.79%	5.39%	
https:/coinmarketcap.com/historical/20200507	06 May 2020	227	SwissBorg	CHSB	$15,224,982	$0.021619	704,253,768 CHSB *	$140,164	-0.37%	11.44%	25.90%	
https:/coinmarketcap.com/historical/20200508	07 May 2020	213	SwissBorg	CHSB	$18,405,122	$0.026134	704,253,768 CHSB *	$165,491	-0.39%	20.42%	59.01%	
https:/coinmarketcap.com/historical/20200509	08 May 2020	217	SwissBorg	CHSB	$16,434,365	$0.023336	704,253,768 CHSB *	$126,515	-0.17%	-11.15%	42.97%	
https:/coinmarketcap.com/historical/20200510	09 May 2020	222	SwissBorg	CHSB	$14,795,279	$0.021008	704,253,768 CHSB *	$148,488	2.24%	-6.48%	31.79%	
https:/coinmarketcap.com/historical/20200511	10 May 2020	220	SwissBorg	CHSB	$14,859,172	$0.021099	704,253,768 CHSB *	$166,195	-1.14%	0.95%	17.66%	
https:/coinmarketcap.com/historical/20200512	11 May 2020	200	SwissBorg	CHSB	$18,336,489	$0.026037	704,253,768 CHSB *	$632,055	2.82%	22.05%	37.75%	
https:/coinmarketcap.com/historical/20200513	12 May 2020	198	SwissBorg	CHSB	$19,752,149	$0.028047	704,253,768 CHSB *	$398,597	0.75%	8.51%	42.99%	
https:/coinmarketcap.com/historical/20200514	13 May 2020	201	SwissBorg	CHSB	$20,121,731	$0.028572	704,253,768 CHSB *	$237,996	-0.03%	1.44%	30.86%	
https:/coinmarketcap.com/historical/20200515	14 May 2020	197	SwissBorg	CHSB	$19,583,951	$0.027808	704,253,768 CHSB *	$264,136	-0.87%	-2.31%	12.53%	
https:/coinmarketcap.com/historical/20200516	15 May 2020	195	SwissBorg	CHSB	$19,780,150	$0.028087	704,253,768 CHSB *	$121,288	0.11%	1.12%	27.12%	
https:/coinmarketcap.com/historical/20200517	16 May 2020	197	SwissBorg	CHSB	$20,057,743	$0.028481	704,253,768 CHSB *	$133,557	-0.07%	1.33%	37.28%	
https:/coinmarketcap.com/historical/20200518	17 May 2020	198	SwissBorg	CHSB	$20,300,836	$0.028826	704,253,768 CHSB *	$167,444	-0.51%	1.27%	33.86%	
https:/coinmarketcap.com/historical/20200519	18 May 2020	201	SwissBorg	CHSB	$20,477,946	$0.029078	704,253,768 CHSB *	$124,521	0.34%	0.90%	13.09%	
https:/coinmarketcap.com/historical/20200520	19 May 2020	203	SwissBorg	CHSB	$20,144,386	$0.028604	704,253,768 CHSB *	$149,080	-1.04%	-1.61%	1.58%	
https:/coinmarketcap.com/historical/20200521	20 May 2020	208	SwissBorg	CHSB	$19,705,640	$0.027981	704,253,768 CHSB *	$128,039	-0.68%	-2.55%	-1.73%	
https:/coinmarketcap.com/historical/20200522	21 May 2020	207	SwissBorg	CHSB	$21,016,244	$0.029842	704,253,768 CHSB *	$122,362	0.51%	6.25%	6.37%	
https:/coinmarketcap.com/historical/20200523	22 May 2020	208	SwissBorg	CHSB	$21,015,684	$0.029841	704,253,768 CHSB *	$146,094	0.28%	0.76%	6.21%	
https:/coinmarketcap.com/historical/20200524	23 May 2020	211	SwissBorg	CHSB	$19,425,803	$0.027584	704,253,768 CHSB *	$98,625	-3.62%	-7.32%	-3.86%	
https:/coinmarketcap.com/historical/20200525	24 May 2020	212	SwissBorg	CHSB	$20,087,707	$0.028523	704,253,768 CHSB *	$120,463	0.35%	1.86%	-0.76%	
https:/coinmarketcap.com/historical/20200526	25 May 2020	215	SwissBorg	CHSB	$20,081,593	$0.028506	704,478,768 CHSB *	$75,331	-0.03%	0.37%	-1.66%	
https:/coinmarketcap.com/historical/20200527	26 May 2020	215	SwissBorg	CHSB	$20,715,861	$0.029389	704,880,233 CHSB *	$115,668	0.81%	3.06%	1.81%	
https:/coinmarketcap.com/historical/20200528	27 May 2020	216	SwissBorg	CHSB	$20,952,270	$0.029725	704,880,233 CHSB *	$119,104	-0.53%	1.50%	6.63%	
https:/coinmarketcap.com/historical/20200529	28 May 2020	215	SwissBorg	CHSB	$21,232,238	$0.030122	704,880,233 CHSB *	$114,534	-0.18%	0.31%	2.98%	
https:/coinmarketcap.com/historical/20200530	29 May 2020	216	SwissBorg	CHSB	$21,446,353	$0.030426	704,880,233 CHSB *	$116,611	-0.09%	0.98%	2.39%	
https:/coinmarketcap.com/historical/20200531	30 May 2020	216	SwissBorg	CHSB	$20,835,525	$0.029559	704,880,233 CHSB *	$126,076	0.67%	-2.71%	4.06%	
https:/coinmarketcap.com/historical/20200601	31 May 2020	216	SwissBorg	CHSB	$21,868,710	$0.031025	704,880,233 CHSB *	$148,188	2.07%	5.27%	9.28%	
https:/coinmarketcap.com/historical/20200602	01 June 2020	215	SwissBorg	CHSB	$21,614,637	$0.030664	704,880,233 CHSB *	$201,223	-0.83%	-1.07%	7.54%	
https:/coinmarketcap.com/historical/20200603	02 June 2020	207	SwissBorg	CHSB	$23,679,399	$0.033594	704,880,233 CHSB *	$194,985	0.73%	8.62%	14.03%	
https:/coinmarketcap.com/historical/20200604	03 June 2020	191	SwissBorg	CHSB	$27,394,680	$0.038864	704,880,233 CHSB *	$960,138	-0.64%	16.65%	29.65%	
https:/coinmarketcap.com/historical/20200605	04 June 2020	154	SwissBorg	CHSB	$38,871,728	$0.055147	704,880,233 CHSB *	$934,547	-0.52%	39.73%	82.45%	
https:/coinmarketcap.com/historical/20200606	05 June 2020	170	SwissBorg	CHSB	$33,717,728	$0.047835	704,880,233 CHSB *	$783,713	-2.54%	-13.09%	57.90%	
https:/coinmarketcap.com/historical/20200607	06 June 2020	158	SwissBorg	CHSB	$37,050,872	$0.052563	704,880,233 CHSB *	$487,453	1.66%	10.57%	76.67%	
https:/coinmarketcap.com/historical/20200608	07 June 2020	136	SwissBorg	CHSB	$50,742,006	$0.071987	704,880,233 CHSB *	$1,432,286	2.68%	38.42%	134.48%	
https:/coinmarketcap.com/historical/20200609	08 June 2020	114	SwissBorg	CHSB	$63,219,267	$0.089056	709,880,233 CHSB *	$2,927,926	-0.77%	26.00%	188.93%	
https:/coinmarketcap.com/historical/20200610	09 June 2020	123	SwissBorg	CHSB	$59,810,838	$0.084176	710,544,983 CHSB *	$2,218,034	0.02%	-6.17%	154.71%	
https:/coinmarketcap.com/historical/20200611	10 June 2020	122	SwissBorg	CHSB	$56,138,395	$0.079008	710,544,983 CHSB *	$1,199,651	3.76%	-6.29%	90.97%	
https:/coinmarketcap.com/historical/20200612	11 June 2020	125	SwissBorg	CHSB	$57,468,997	$0.080880	710,544,983 CHSB *	$719,480	-0.15%	5.23%	48.88%	
https:/coinmarketcap.com/historical/20200613	12 June 2020	123	SwissBorg	CHSB	$59,211,775	$0.083333	710,544,983 CHSB *	$675,777	0.19%	2.95%	69.99%	
https:/coinmarketcap.com/historical/20200614	13 June 2020	110	SwissBorg	CHSB	$68,316,407	$0.096146	710,544,983 CHSB *	$1,443,103	0.23%	14.86%	87.09%	
https:/coinmarketcap.com/historical/20200615	14 June 2020	106	SwissBorg	CHSB	$70,988,383	$0.099907	710,544,983 CHSB *	$1,516,087	-0.19%	3.09%	42.99%	
https:/coinmarketcap.com/historical/20200616	15 June 2020	88	SwissBorg	CHSB	$92,138,395	$0.129673	710,544,983 CHSB *	$2,879,353	3.16%	29.66%	45.27%	
https:/coinmarketcap.com/historical/20200617	16 June 2020	75	SwissBorg	CHSB	$118,309,522	$0.166505	710,544,983 CHSB *	$4,962,115	2.54%	29.23%	100.74%	
https:/coinmarketcap.com/historical/20200618	17 June 2020	83	SwissBorg	CHSB	$97,158,791	$0.136738	710,544,983 CHSB *	$5,243,111	-0.77%	-17.82%	74.56%	
https:/coinmarketcap.com/historical/20200619	18 June 2020	84	SwissBorg	CHSB	$97,432,211	$0.137123	710,544,983 CHSB *	$2,762,420	-2.58%	-0.41%	69.35%	
https:/coinmarketcap.com/historical/20200620	19 June 2020	91	SwissBorg	CHSB	$89,469,445	$0.125917	710,544,983 CHSB *	$1,596,489	-1.34%	-9.11%	51.89%	
https:/coinmarketcap.com/historical/20200621	20 June 2020	85	SwissBorg	CHSB	$93,515,353	$0.131611	710,544,983 CHSB *	$1,481,986	0.77%	4.89%	38.96%	
https:/coinmarketcap.com/historical/20200622	21 June 2020	80	SwissBorg	CHSB	$104,250,263	$0.145795	715,045,255 CHSB *	$2,542,486	0.18%	11.32%	44.55%	
https:/coinmarketcap.com/historical/20200623	22 June 2020	82	SwissBorg	CHSB	$105,285,852	$0.147244	715,045,255 CHSB *	$1,829,744	2.55%	0.80%	16.63%	
https:/coinmarketcap.com/historical/20200624	23 June 2020	85	SwissBorg	CHSB	$98,637,006	$0.137945	715,045,255 CHSB *	$1,495,023	-0.22%	-5.54%	-13.39%	
https:/coinmarketcap.com/historical/20200625	24 June 2020	92	SwissBorg	CHSB	$91,018,936	$0.127291	715,045,255 CHSB *	$1,563,688	0.71%	-7.86%	-6.24%	
https:/coinmarketcap.com/historical/20200626	25 June 2020	95	SwissBorg	CHSB	$81,442,044	$0.113898	715,045,255 CHSB *	$2,171,567	-0.60%	-10.45%	-15.99%	
https:/coinmarketcap.com/historical/20200627	26 June 2020	103	SwissBorg	CHSB	$71,378,720	$0.099824	715,045,255 CHSB *	$2,044,131	3.59%	-12.51%	-20.61%	
https:/coinmarketcap.com/historical/20200628	27 June 2020	106	SwissBorg	CHSB	$68,624,206	$0.095972	715,045,255 CHSB *	$2,901,293	3.14%	-0.87%	-26.38%	
https:/coinmarketcap.com/historical/20200629	28 June 2020	98	SwissBorg	CHSB	$79,287,030	$0.110884	715,045,255 CHSB *	$3,005,921	1.40%	17.15%	-23.61%	
https:/coinmarketcap.com/historical/20200630	29 June 2020	94	SwissBorg	CHSB	$81,840,067	$0.114454	715,045,255 CHSB *	$1,277,176	0.47%	3.47%	-20.28%	
https:/coinmarketcap.com/historical/20200701	30 June 2020	100	SwissBorg	CHSB	$79,245,618	$0.110826	715,045,255 CHSB *	$1,080,212	-0.29%	-2.79%	-19.27%	
https:/coinmarketcap.com/historical/20200702	01 July 2020	102	SwissBorg	CHSB	$75,140,587	$0.105077	715,097,164 CHSB *	$1,548,154	-0.28%	-5.29%	-17.53%	
https:/coinmarketcap.com/historical/20200703	02 July 2020	106	SwissBorg	CHSB	$70,759,796	$0.098951	715,097,164 CHSB *	$1,039,089	-1.78%	-6.07%	-13.03%	
https:/coinmarketcap.com/historical/20200704	03 July 2020	111	SwissBorg	CHSB	$67,725,911	$0.094709	715,097,164 CHSB *	$2,721,180	-0.97%	-4.70%	-5.37%	
https:/coinmarketcap.com/historical/20200705	04 July 2020	117	SwissBorg	CHSB	$62,268,644	$0.087639	710,514,612 CHSB *	$1,271,113	-0.33%	-5.43%	-7.04%	
https:/coinmarketcap.com/historical/20200706	05 July 2020	110	SwissBorg	CHSB	$69,142,278	$0.096904	713,514,612 CHSB *	$1,063,283	0.55%	10.05%	-12.32%	
https:/coinmarketcap.com/historical/20200707	06 July 2020	111	SwissBorg	CHSB	$67,290,453	$0.094308	713,514,612 CHSB *	$913,953	0.93%	-3.60%	-16.68%	
https:/coinmarketcap.com/historical/20200708	07 July 2020	119	SwissBorg	CHSB	$63,006,215	$0.088304	713,514,612 CHSB *	$1,061,346	-0.27%	-5.85%	-21.06%	
https:/coinmarketcap.com/historical/20200709	08 July 2020	120	SwissBorg	CHSB	$65,579,770	$0.091911	713,514,612 CHSB *	$1,109,084	0.05%	4.06%	-11.67%	
https:/coinmarketcap.com/historical/20200710	09 July 2020	123	SwissBorg	CHSB	$62,844,872	$0.087955	714,514,612 CHSB *	$799,040	0.65%	-4.37%	-10.59%	
https:/coinmarketcap.com/historical/20200711	10 July 2020	118	SwissBorg	CHSB	$66,773,780	$0.093453	714,514,612 CHSB *	$800,143	0.08%	6.95%	2.99%	
https:/coinmarketcap.com/historical/20200712	11 July 2020	112	SwissBorg	CHSB	$71,065,826	$0.099460	714,514,612 CHSB *	$1,336,321	0.02%	5.86%	10.63%	
https:/coinmarketcap.com/historical/20200713	12 July 2020	115	SwissBorg	CHSB	$74,023,844	$0.103600	714,514,612 CHSB *	$1,628,193	0.45%	4.14%	5.62%	
https:/coinmarketcap.com/historical/20200714	13 July 2020	105	SwissBorg	CHSB	$84,919,355	$0.118849	714,514,612 CHSB *	$2,099,472	0.91%	15.73%	27.21%	
https:/coinmarketcap.com/historical/20200715	14 July 2020	96	SwissBorg	CHSB	$93,087,659	$0.130281	714,514,612 CHSB *	$2,411,280	-0.79%	9.93%	47.16%	
https:/coinmarketcap.com/historical/20200716	15 July 2020	104	SwissBorg	CHSB	$87,640,059	$0.122657	714,514,612 CHSB *	$2,533,242	-1.09%	-6.14%	34.18%	
https:/coinmarketcap.com/historical/20200717	16 July 2020	105	SwissBorg	CHSB	$88,170,650	$0.123399	714,514,612 CHSB *	$1,481,904	-2.04%	-0.24%	41.23%	
https:/coinmarketcap.com/historical/20200718	17 July 2020	105	SwissBorg	CHSB	$90,962,231	$0.127306	714,514,612 CHSB *	$1,126,502	-0.26%	2.40%	36.59%	
https:/coinmarketcap.com/historical/20200719	18 July 2020	108	SwissBorg	CHSB	$90,403,841	$0.126525	714,514,612 CHSB *	$1,060,340	0.90%	-0.96%	25.96%	
https:/coinmarketcap.com/historical/20200720	19 July 2020	114	SwissBorg	CHSB	$83,596,886	$0.116998	714,514,612 CHSB *	$1,552,163	-4.08%	-7.28%	13.80%	
https:/coinmarketcap.com/historical/20200721	20 July 2020	117	SwissBorg	CHSB	$85,257,330	$0.119322	714,514,612 CHSB *	$1,686,178	1.65%	3.33%	2.35%	
https:/coinmarketcap.com/historical/20200722	21 July 2020	120	SwissBorg	CHSB	$82,455,021	$0.115400	714,514,612 CHSB *	$1,081,019	-2.86%	-2.36%	-11.51%	
https:/coinmarketcap.com/historical/20200723	22 July 2020	120	SwissBorg	CHSB	$81,482,241	$0.114039	714,514,612 CHSB *	$1,355,458	-0.31%	-1.59%	-8.51%	
